"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"1";"The treatment of cataract is possible through surgery only .";"मोतियाबिंद का उपचार केवल शल्य - चिकित्सा द्वारा ही सम्भव है ।";"मोतियाबिंद का इलाज सर्जरी से ही संभव है।";"मोतियाबिंद का उपचार केवल सर्जरी के माध्यम से संभव है।";"7.413670";"21.507319"
"2";"Complete lens capsule is taken out in the method of Intra Capsular Cataract Extraction , after the operation spectacles are used post-test .";"इन्ट्रा कैनसूलर कैटरेक्ट एक्सट्रेक्शन ( intra capsular cataract extraction ) विधि में पूरा लैन्स कैपस्यूल निकाला जाता है , ऑपरेशन के बाद जाँच के उपरान्त चश्में का प्रयोग किया जाता है ।";"परीक्षण के बाद ऑपरेशन चश्मे का उपयोग करने के बाद , इंट्रा कैप्सुलर मोतियाबिंद निष्कर्षण की विधि में पूर्ण लेंस कैप्सूल निकाला जाता है।";"ऑपरेशन चश्मा के बाद इंट्रा कैप्सुलर मोतियाबिंद निष्कर्षण की विधि में पूरा लेंस कैप्सूल निकाला जाता है , परीक्षण के बाद उपयोग किया जाता है।";"4.437085";"13.087683"
"3";"During operation lens is implanted at front of the iris , the frontal part of the eye .";"ऑपरेशन के दौरान लैन्स प्रत्यारोपण आँख के अगले भाग , आइरिस के आगे किया जाता है ।";"ऑपरेशन के दौरान लेंस को आईरिस के सामने , आंख के सामने वाले हिस्से में प्रत्यारोपित किया जाता है।";"ऑपरेशन के दौरान लेंस आईरिस के सामने लगाया जाता है , आंख का ललाट हिस्सा।";"10.657284";"11.709960"
"4";"In the Extra Capsular Cataract Method , the part of the frontal capsule and the whole of the lens matter is extracted and the posterior part of the capsule is left intact .";"इक्स्ट्रा कैनसूलर कैटरेक्ट एक्सट्रेक्शन विधि में सामने वाला कैपस्यूल का हिस्सा तथा पूरा लैन्स मैटर निकाल लिया जाता है और पीछे वाला कैपस्यूल सुरक्षित छोड़ दिया जाता है ।";"अतिरिक्त कैप्सुलर मोतियाबिंद विधि में , ललाट कैप्सूल का हिस्सा और लेंस के पूरे पदार्थ को निकाला जाता है और कैप्सूल के पीछे के हिस्से को बरकरार रखा जाता है।";"अतिरिक्त कैप्सुलर मोतियाबिंद विधि में , ललाट कैप्सूल का हिस्सा और पूरे लेंस पदार्थ को निकाला जाता है और कैप्सूल के पीछे का हिस्सा बरकरार रहता है।";"7.232823";"7.290175"
"5";"Lens is fitted in the capsular bag .";"कैपस्यूलर बैग में लैन्स फिट किया जाता है ।";"लेंस को कैप्सुलर बैग में फिट किया जाता है।";"लेंस को कैप्सुलर बैग में फिट किया जाता है।";"22.316181";"22.316181"
"6";"In the S . . . . -LRB- Small Incision Cataract Surgery -RRB- method . 6 mm tunnel is formed while the rest of the method follows like that of the ECCE-IOL .";"s.i.c.s ( small incision cataract surgry ) विधि में 6 मिमी . की एक टनल बनाई जाती है शेष विधि ecce – iol की तरह होती है ।";"एस में । . . . - एलआरबी - स्मॉल इन्सिजन मोतियाबिंद सर्जरी - आरआरबी - विधि। 6 मिमी सुरंग का निर्माण होता है जबकि शेष विधि ईसीसीई - आईओएल की तरह होती है।";"एस में। . . ख . ( ख ) लघु चीरा मोतियाबिंद शल्यचिकित्सा पद्धति 6 मिमी सुरंग का गठन किया गया है जबकि बाकी विधि ईसीसीई - आईओएल की तरह है।";"6.667754";"4.154664"
"7";"No stitches are applied in the S . . . . -LRB- Small Incision Cataract Surgery -RRB- method .";"s.i.c.s ( small incision cataract surgry ) विधि में टाँके नही लगाये जाते हैं ।";"s में कोई टांके नहीं लगाए जाते हैं। . . . - एलआरबी - स्मॉल इन्सिजन मोतियाबिंद सर्जरी - आरआरबी - विधि।";"s में कोई टांके नहीं लगाए जाते हैं। . . ख . ( ख ) लघु चीरा मोतियाबिंद शल्यचिकित्सा पद्धति";"2.054027";"2.707658"
"8";"In black cataract the eye nerves dilapidates gradually . It happens due to extra water pressure in the eye or because of not enough blood reaching in the eye nerves .";"काला मोतियाबिंद में नेत्र तंत्रिका धीरे - धीरे नष्ट होती है आँख में पानी का दबाव ज्यादा होने की वजह से या नेत्र तंत्रिका में रक्त पर्याप्त मात्रा में न पहुँचने की वजह से ऐसा होता है ।";"काले मोतियाबिंद में आंखों की नसें धीरे - धीरे कमजोर हो जाती हैं। यह आंख में अतिरिक्त पानी के दबाव या आंखों की नसों में पर्याप्त रक्त नहीं पहुंचने के कारण होता है।";"काली मोतियाबिंद में नेत्र तंत्रिकाएं धीरे - धीरे कमजोर हो जाती हैं। यह आंखों में अतिरिक्त पानी के दबाव के कारण होता है या आंखों की नसों में पर्याप्त रक्त नहीं पहुंचने के कारण होता है ।";"5.945751";"9.786520"
"9";"The blindness caused by the black cataract can be prevented if it is identified soon and its regular treatment and tests continue .";"काले मोतियाबिंद से होने वाली अधंता अंधता को रोका जा सकता है यदि इसका पता जल्दी लग जाए तथा इसका नियमित इलाज व जाँच होती रहे ।";"काले मोतियाबिंद से होने वाले अंधेपन को रोका जा सकता है यदि इसकी जल्द ही पहचान कर ली जाए और इसका नियमित उपचार और परीक्षण जारी रहे।";"काली मोतियाबिंद के कारण होने वाले अंधापन को रोका जा सकता है यदि इसकी जल्द पहचान की जाए और इसके नियमित उपचार और परीक्षण जारी रहें।";"28.574404";"19.459025"
"10";"When the extra pressure is more in the eyes .";"जब आँखों में अतिरिक्त दबाव ज्यादा हो ।";"जब आंखों में अतिरिक्त दबाव ज्यादा हो।";"जब आंखों में अतिरिक्त दबाव अधिक होता है।";"37.684992";"22.089591"
"11";"If somebody suffers from black cataract in the family .";"यदि परिवार में किसी को काला मोतियाबिंद हो ।";"अगर परिवार में किसी को काला मोतियाबिंद है।";"यदि कोई परिवार में काले मोतियाबिंद से पीड़ित है।";"60.042877";"11.339582"
"12";"In most of the patients the part of the water channel from the eyes are open yet for some reasons the water gets lessened .";"अधिकांश मरीजों में आँख से पानी जाने का हिस्सा खुला होता है फिर भी कुछ कारणवस कारणवश पानी कम जाता है ।";"अधिकांश रोगियों में आंखों से पानी की नली का हिस्सा खुला रहता है फिर भी कुछ कारणों से पानी कम हो जाता है।";"अधिकांश रोगियों में आंखों से पानी के चैनल का हिस्सा अभी तक कुछ कारणों से खुला है , पानी कम हो जाता है।";"19.285765";"6.783490"
"13";"Internal pressure keeps on increasing and the eye nerves dilapidates , gradually the patient can not see things around , eyesight might also be lost if treatment is not done in time .";"अंदर का दबाव बढ़ता जाता है और नेत्र तंत्रिका नष्ट होती है , धीरे - धीरे मरीज अगल - बगल की चीजें नहीं देख पाता है , अगर समय पर इलाज न किया जाए तो नजर भी जा सकती है ।";"आंतरिक दबाव बढ़ता रहता है और आंख की नसें क्षीण हो जाती हैं , धीरे - धीरे रोगी आसपास की चीजें नहीं देख पाता है , समय पर उपचार न करने पर आंखों की रोशनी भी जा सकती है।";"आंतरिक दबाव बढ़ता रहता है और आंखों की नसों में फैलाव होता है , धीरे - धीरे रोगी चीजों को नहीं देख सकता है , अगर समय पर उपचार नहीं किया जाता है तो दृष्टि भी खो सकती है।";"26.393210";"22.864961"
"14";"Main symptoms on appearance of which a patient should consult a doctor .";"प्रमुख लक्षण जिनके प्रकट होने पर रोगी को डॉक्टर से जाँच करानी चाहिए ।";"मुख्य लक्षण जिसके प्रकट होने पर रोगी को डॉक्टर से परामर्श लेना चाहिए।";"मुख्य लक्षण जिनमें से एक रोगी को डॉक्टर से परामर्श करना चाहिए।";"45.033035";"18.975525"
"15";"Seeing rainbow like colorful ovals in light .";"रोशनी मे इंद्र धनुष के समान रंगीन गोले दिखाई देना ।";"रोशनी में रंग - बिरंगे अंडाकार जैसे इंद्रधनुष देखना।";"प्रकाश में रंगीन अंडाकार की तरह इंद्रधनुष देखकर।";"3.817681";"3.795485"
"16";"We will check the eye nerves with special lens or equipment to find how much of damage has occurred .";"विशेष लैन्स या यंत्र के द्वारा नेत्र तंत्रिका की जाँच करेंगे की कितनी क्षति पहुँची है ।";"हम विशेष लेंस या उपकरण से आंखों की नसों की जांच करेंगे ताकि पता लगाया जा सके कि कितना नुकसान हुआ है।";"हम विशेष लेंस या उपकरणों के साथ आंखों की नसों की जांच करेंगे ताकि यह पता लगाया जा सके कि कितना नुकसान हुआ है।";"2.582802";"2.462337"
"17";"Field test , in which the capacity to see things on the sides while looking straight is tested .";"फिल्ड टेस्ट जिसमें सामने देखते हुए साइड की चीजें देख सकने की क्षमता की जाँच होती है ।";"फील्ड टेस्ट , जिसमें सीधे देखते हुए पक्षों पर चीजों को देखने की क्षमता का परीक्षण किया जाता है।";"फील्ड टेस्ट , जिसमें सीधे दिखने के दौरान पक्षों पर चीजों को देखने की क्षमता का परीक्षण किया जाता है।";"6.336859";"4.553719"
"18";"The part -LRB- angle -RRB- from where the water passes out can be seen through a special lens .";"एक विशेष लैन्स द्वारा पानी के बाहर जाने के हिस्से ( एंगल ) को देख सकते हैं ।";"भाग - lrb - कोण - rrb - जहाँ से पानी निकलता है , उसे एक विशेष लेंस के माध्यम से देखा जा सकता है।";"जिस हिस्से से पानी निकलता है उसे विशेष लेंस से देखा जा सकता है।";"3.582342";"2.808600"
"19";"With the lack of vitamin-A the cornea becomes weak and a wound appears through which at last causes blindness .";"विटामिन - ए की कमी से कॉर्नियल कमजोर तथा घाव हो जाते हैं जिससे अन्त में अन्धापन होता है ।";"विटामिन - ए की कमी से कॉर्निया कमजोर हो जाता है और एक घाव दिखाई देता है जिसके माध्यम से अंत में अंधापन होता है।";"विटामिन - ए की कमी के साथ कॉर्निया कमजोर हो जाता है और एक घाव दिखाई देता है जिसके माध्यम से अंतिम रूप से अंधापन होता है।";"22.067731";"15.822638"
"20";"The lack of vitamin-A is even more imminent in states of measles and malnutrition .";"विटामिन - ए की कमी खसरे तथा कुपोषण की स्थिति में और अधिक होती है ।";"खसरा और कुपोषण की स्थिति में विटामिन - ए की कमी और भी अधिक आसन्न है।";"खसरे और कुपोषण की स्थिति में विटामिन - ए की कमी और भी आसन्न है।";"40.325043";"40.537462"
"21";"Nyctalopia may occur due to lack of vitamin-A .";"विटामिन - ए की कमी से रतौंधी हो सकती है ।";"nyctalopia विटामिन - ए की कमी के कारण हो सकता है।";"विटामिन - ए की कमी के कारण निक्टालोपिया हो सकता है।";"36.720563";"36.720563"
"22";"Absorption of vitamin-A during lack of vitamin-A in food , continuous diarrhoea and malnutrition .";"खाने में विटामिन - ए की मात्रा की कमी लगातार दस्त तथा कुपोषण में विटामिन - ए का अवशोषण ( absorption ) कम होना ।";"भोजन में विटामिन - ए की कमी , लगातार दस्त और कुपोषण के दौरान विटामिन - ए का अवशोषण।";"भोजन में विटामिन - ए की कमी के दौरान विटामिन - ए का अवशोषण , लगातार दस्त और कुपोषण।";"27.025572";"31.206443"
"23";"Demand of vitamin-A during and after measles .";"खसरे के समय व बाद में विटामिन - ए की मांग का अधिक होना ।";"खसरे के दौरान और बाद में विटामिन - ए की मांग।";"खसरे के दौरान और बाद में विटामिन - ए की मांग।";"36.099323";"36.099323"
"24";"It is visible in dim light .";"कम रोशनी में दिखाई देता है ।";"यह कम रोशनी में दिखाई देता है।";"यह मंद प्रकाश में दिखाई देता है।";"61.478815";"24.446151"
"25";"White surface dries up .";"स्वेत पटल सूखा हो जाता है ।";"सफेद सतह सूख जाती है।";"सफेद सतह सूख जाती है।";"3.580238";"3.580238"
"26";"Bitot 's spots - white spots shows up on white surface .";"बिटोटस स्पॉट्स - श्वेत श् ‍ वेत पटल पर श्वेत श् ‍ वेत धब्बे दिखाई देते हैं ।";"बिटोट के धब्बे - सफेद धब्बे सफेद सतह पर दिखाई देते हैं।";"बिटोट के धब्बे - सफेद धब्बे सफेद सतह पर दिखाई देते हैं।";"5.165575";"5.165575"
"27";"Use gram leaves , fenugreek or methi leaves , spinach , cabbage , coriander , papaya , mango in diet to prevent nyctalopia .";"रतौंधी से बचने के लिए चौलाई , चने का साग , मैथी का साग , पालक , बन्दगोभी , धनिया , गाजर , पपीता , आम आदि का सेवन करें ।";"मोतियाबिंद से बचाव के लिए आहार में चने के पत्ते , मेथी या मेथी के पत्ते , पालक , पत्ता गोभी , धनिया , पपीता , आम का प्रयोग करें।";"चने के पत्ते , मेथी या मेथी के पत्ते , पालक , गोभी , धनिया , पपीता , आम का उपयोग आहार में करें ताकि निक्टालोपिया को रोका जा सके।";"15.897307";"15.112446"
"28";"Encouraging mother for milk .";"माँ को दूध के लिए प्रोत्साहित करना ।";"मां को दूध के लिए प्रेरित करना।";"दूध के लिए माँ को प्रोत्साहित करना।";"35.640265";"27.890014"
"29";"Applying vaccine at the time of measles .";"खसरे का समय पर टीका लगाना ।";"खसरे के समय टीका लगाना।";"खसरे के समय टीका लगाना।";"9.423717";"9.423717"
"30";"Giving doses of vitamin-A -LRB- 1 mn I . . -RRB- during measles and at an interval of 3 months till 3 years -LRB- 2 mn I . . -RRB- .";"विटामिन - ए की खुराक ( 1 लाख आई . यू . ) , खसरे के टीके समय तथा 3 वर्ष तक ( 2 लाख आई . यू ) 3 माह के अन्तराल पर देना ।";"विटामिन - ए - एलआरबी - 1 एमएन आई की खुराक देना। . - आरआरबी - खसरे के दौरान और 3 महीने के अंतराल पर 3 साल तक - एलआरबी - 2 मिलियन i। . - आरआरबी - ।";"विटामिन - ए की खुराक देना - lrb - 1 करोड़ i । खसरे के दौरान और 3 मास के अंतराल पर 3 वर्ष तक . - आरआरबी -.";"6.534879";"15.880210"
"31";"It is necessary that children are given nutritious food so that they are saved from the malnutrition caused corneal blindness .";"बच्चों को पौष्टिक आहार दिये जाने की आवश्यकता है ताकि कुपोषण से होने वाले कॉर्नियल ब्लाइन्डनेस से बचाया जा सकें ।";"यह आवश्यक है कि बच्चों को पौष्टिक आहार दिया जाए ताकि वे कॉर्नियल ब्लाइंडनेस के कारण होने वाले कुपोषण से बच सकें।";"यह आवश्यक है कि बच्चों को पौष्टिक भोजन दिया जाए ताकि वे कुपोषण से बच सकें , कॉर्नियल अंधापन हो।";"15.821286";"9.873985"
"32";"For conjunctival cataract caused by rubella vaccination is required on time .";"रूबेला के कारण होने वाले कन्जानाईटल कैटरेक्ट के लिये समय पर टीकाकरण किये जाने की आवश्यकता है ।";"रूबेला के कारण होने वाले नेत्रश्लेष्मला मोतियाबिंद के लिए समय पर टीकाकरण की आवश्यकता होती है।";"नेत्रश्लेष्मलाशोथ के लिए रुबेला टीकाकरण के कारण मोतियाबिंद की समय पर आवश्यकता होती है।";"30.411491";"7.178142"
"33";"About 20 to 40 percent of children become blind with one eye due to injuries in the eyes .";"आँखों में चोट के लगने के कारण लगभग 20 से 40 प्रतिशत बच्चें एक आँख से अन्धे हो जाते हैं ।";"लगभग 20 से 40 प्रतिशत बच्चे आंखों में चोट लगने के कारण एक आंख से अंधे हो जाते हैं।";"लगभग 20 से 40 प्रतिशत बच्चे आंखों में चोटों के कारण एक आंख से अंधे हो जाते हैं।";"28.197658";"23.442577"
"34";"It is required that people are educated about the safety of eyes so that blindness caused by crackers , industrial accidents and road traffic accidents could be escaped .";"आँखों की सुरक्षा के बारे में लोगों को शिक्षित किये जाने की आवश्यकता है ताकि पटाखें औद्योगिक दुर्घटनायें एवं रोड ट्रेफिक दुर्घटनायों से होने वाली अन्धता को बचाया जा सके ।";"यह आवश्यक है कि लोगों को आंखों की सुरक्षा के बारे में शिक्षित किया जाए ताकि पटाखों से होने वाले अंधेपन , औद्योगिक दुर्घटनाओं और सड़क यातायात दुर्घटनाओं से बचा जा सके।";"यह आवश्यक है कि लोगों को आंखों की सुरक्षा के बारे में शिक्षित किया जाए ताकि पटाखे , औद्योगिक दुर्घटनाओं और सड़क यातायात दुर्घटनाओं के कारण होने वाले अंधापन से बचा जा सके।";"15.545328";"14.380554"
"35";"To save eyes from diseases it is necessary to pay attention towards environmental sanitation and treatment is needed on time .";"रोगों से आँखों के बचाव के लिये environmental senitation की ओर ध्यान दिये जाने की आवश्यकता है तथा उपचार समय पर किये जाने की जरूरत है ।";"आंखों को बीमारियों से बचाने के लिए पर्यावरण की स्वच्छता पर ध्यान देना जरूरी है और समय पर इलाज की जरूरत है।";"आंखों को बीमारियों से बचाने के लिए पर्यावरणीय स्वच्छता की ओर ध्यान देना आवश्यक है और समय पर उपचार की आवश्यकता है।";"4.766899";"8.429387"
"36";"Gradual and painless lessening of vision in one or both of the eyes in a month or year .";"धीरे - धीरे तथा बिना दर्द के एक या दोनों आँखों में एक माह या वर्ष में दृष्टि में धीरे - धीरे कमी आना ।";"एक महीने या साल में एक या दोनों आंखों की दृष्टि का धीरे - धीरे और दर्द रहित कम होना।";"एक महीने या वर्ष में एक या दोनों आंखों में दृष्टि का क्रमिक और दर्द रहित कम होना।";"11.485259";"11.459412"
"37";"Pupil getting gray or white .";"भूरा ( gray ) या सफेद पुतली ( प्यूपिल ) होना ।";"पुतली का धूसर या सफेद होना।";"छात्र ग्रे या सफेद हो रही है।";"6.609030";"6.429909"
"38";"When the rays of light do not fall on the retina or falls at the front or back of the retina .";"जब प्रकाश की किरणें दृष्टि पटल ( रेटिना ) पर नही पड़ती हैं या तो रेटिना के आगे या रेटिना के पीछे पड़ती है ।";"जब प्रकाश की किरणें रेटिना पर नहीं पड़ती हैं या रेटिना के आगे या पीछे नहीं पड़ती हैं।";"जब प्रकाश की किरणें रेटिना पर नहीं गिरती हैं या रेटिना के सामने या पीछे गिरती हैं ।";"26.121811";"16.103805"
"39";"When the rays of light gets collected before the retina .";"जब प्रकाश की किरणें रेटिना से पहले एकत्रित हो जाती हैं ।";"जब प्रकाश की किरणें रेटिना के सामने एकत्रित हो जाती हैं।";"जब रेटिना से पहले प्रकाश की किरणें एकत्रित हो जाती हैं।";"42.846978";"29.812474"
"40";"Fungus is also a kind of being that lives in our body and harms our body .";"फंगस भी हमारे शरीर में रहने वाला ऐसा एक जीव है जो हमारे शरीर को नुकसान पहुँचाता है ।";"कवक भी एक प्रकार का प्राणी है जो हमारे शरीर में रहता है और हमारे शरीर को हानि पहुँचाता है।";"फंगस भी एक तरह का जीव है जो हमारे शरीर में रहता है और हमारे शरीर को नुकसान पहुंचाता है।";"22.308577";"37.370982"
"41";"Fungus creates its abode in damped places like under the nail of our toe .";"फंगस नमी वाली जगह जैसे हमारे पैर के अंगूठे के नाखून के नीचे अपना घर बना लेते हैं ।";"कवक हमारे पैर के अंगूठे के नाखून के नीचे नमी वाली जगहों पर अपना ठिकाना बनाता है।";"कवक हमारे पैर के अंगूठे के नाखून के नीचे की तरह नम स्थानों में अपना निवास बनाता है।";"41.220235";"37.888273"
"42";"It is called onikomysis .";"जिसे ओनिकोमाइसिस कहते हैं ।";"इसे ओनिकोमाइसिस कहते हैं।";"इसे ओनिकोमिसिस कहते हैं।";"24.880469";"12.440235"
"43";"The patient can see nearby things clearly but there occurs problem seeing things at a distance .";"मरीज नजदीक की चीजें साफ देख सकता है परन्तु दूर की चीजें देखने में परेशानी होती है ।";"रोगी पास की चीजों को साफ देख सकता है लेकिन दूर की चीजों को देखने में दिक्कत होती है।";"रोगी आस - पास की चीजों को स्पष्ट रूप से देख सकता है लेकिन चीजों को दूर से देखने में समस्या होती है।";"18.107198";"8.668528"
"44";"The patient brings things near to the eyes to see things clearly .";"मरीज चीजों को देखने के लिये आँख के पास लाता है ।";"रोगी चीजों को स्पष्ट रूप से देखने के लिए चीजों को आंखों के पास लाता है।";"रोगी चीजों को स्पष्ट रूप से देखने के लिए चीजों को आंखों के पास लाता है।";"13.380161";"13.380161"
"45";"Student tries to sit very near to the blackboard in the classroom .";"क्लास में विद्यार्थी श्यामपट के काफी नजदीक बैठने की कोशिश करता हैं ।";"विद्यार्थी कक्षा में ब्लैकबोर्ड के बहुत पास बैठने की कोशिश करता है |";"छात्र कक्षा में ब्लैकबोर्ड के पास बैठने की कोशिश करता है।";"22.242469";"21.648694"
