"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"The treatment of cataract is possible through surgery only .";"मोतियाबिंद का उपचार केवल शल्य - चिकित्सा द्वारा ही सम्भव है ।";"मोतियाबिंद का इलाज सर्जरी से ही संभव है।";"7.413670"
"2";"Complete lens capsule is taken out in the method of Intra Capsular Cataract Extraction , after the operation spectacles are used post-test .";"इन्ट्रा कैनसूलर कैटरेक्ट एक्सट्रेक्शन ( intra capsular cataract extraction ) विधि में पूरा लैन्स कैपस्यूल निकाला जाता है , ऑपरेशन के बाद जाँच के उपरान्त चश्में का प्रयोग किया जाता है ।";"इंट्रा कैप्सुलर मोतियाबिंद निष्कर्षण विधि में , पूरे लेंस कैप्सूल को हटा दिया जाता है , ऑपरेशन के बाद , जांच के बाद चश्मे का उपयोग किया जाता है।";"18.491189"
"3";"During operation lens is implanted at front of the iris , the frontal part of the eye .";"ऑपरेशन के दौरान लैन्स प्रत्यारोपण आँख के अगले भाग , आइरिस के आगे किया जाता है ।";"ऑपरेशन के दौरान , लेंस इम्प्लांट को आईरिस के सामने , आंख के सामने वाले हिस्से में रखा जाता है।";"8.808425"
"4";"In the Extra Capsular Cataract Method , the part of the frontal capsule and the whole of the lens matter is extracted and the posterior part of the capsule is left intact .";"इक्स्ट्रा कैनसूलर कैटरेक्ट एक्सट्रेक्शन विधि में सामने वाला कैपस्यूल का हिस्सा तथा पूरा लैन्स मैटर निकाल लिया जाता है और पीछे वाला कैपस्यूल सुरक्षित छोड़ दिया जाता है ।";"अतिरिक्त - कैंसर मोतियाबिंद निष्कर्षण विधि में , पूर्वकाल कैप्सूल का हिस्सा और पूरे लेंस पदार्थ को हटा दिया जाता है और पीछे के कैप्सूल को बरकरार रखा जाता है।";"12.861981"
"5";"Lens is fitted in the capsular bag .";"कैपस्यूलर बैग में लैन्स फिट किया जाता है ।";"लेंस को कैप्सुलर बैग में फिट किया जाता है।";"22.316181"
"6";"In the S . . . . -LRB- Small Incision Cataract Surgery -RRB- method . 6 mm tunnel is formed while the rest of the method follows like that of the ECCE-IOL .";"s.i.c.s ( small incision cataract surgry ) विधि में 6 मिमी . की एक टनल बनाई जाती है शेष विधि ecce – iol की तरह होती है ।";"sics ( लघु चीरा मोतियाबिंद सर्जरी ) विधि में 6 मिमी। एक सुरंग बनाई जाती है , बाकी विधि ईसीसीई - आईओएल की तरह है।";"14.485139"
"7";"No stitches are applied in the S . . . . -LRB- Small Incision Cataract Surgery -RRB- method .";"s.i.c.s ( small incision cataract surgry ) विधि में टाँके नही लगाये जाते हैं ।";"sics ( स्मॉल इनिसिजन मोतियाबिंद सर्जरी ) पद्धति में टांके का उपयोग नहीं किया जाता है।";"3.218583"
"8";"In black cataract the eye nerves dilapidates gradually . It happens due to extra water pressure in the eye or because of not enough blood reaching in the eye nerves .";"काला मोतियाबिंद में नेत्र तंत्रिका धीरे - धीरे नष्ट होती है आँख में पानी का दबाव ज्यादा होने की वजह से या नेत्र तंत्रिका में रक्त पर्याप्त मात्रा में न पहुँचने की वजह से ऐसा होता है ।";"ब्लैक ग्लूकोमा में आंख में पानी का दबाव ज्यादा होने या आंख की नस में पर्याप्त मात्रा में खून न पहुंचने के कारण आंख की नसें धीरे - धीरे नष्ट हो जाती हैं।";"23.315192"
"9";"The blindness caused by the black cataract can be prevented if it is identified soon and its regular treatment and tests continue .";"काले मोतियाबिंद से होने वाली अधंता अंधता को रोका जा सकता है यदि इसका पता जल्दी लग जाए तथा इसका नियमित इलाज व जाँच होती रहे ।";"काले मोतियाबिंद के कारण होने वाले अंधेपन को रोका जा सकता है यदि इसका जल्द पता चल जाए और इसका नियमित रूप से इलाज और जाँच की जाए।";"27.276173"
"10";"When the extra pressure is more in the eyes .";"जब आँखों में अतिरिक्त दबाव ज्यादा हो ।";"जब आंखों में अधिक दबाव हो।";"7.654113"
"11";"If somebody suffers from black cataract in the family .";"यदि परिवार में किसी को काला मोतियाबिंद हो ।";"अगर परिवार में किसी को काला मोतियाबिंद है।";"60.042877"
"12";"In most of the patients the part of the water channel from the eyes are open yet for some reasons the water gets lessened .";"अधिकांश मरीजों में आँख से पानी जाने का हिस्सा खुला होता है फिर भी कुछ कारणवस कारणवश पानी कम जाता है ।";"अधिकांश रोगियों में आंख का पानी वाला भाग खुला रहता है , फिर भी किसी कारणवश पानी कम हो जाता है।";"10.088314"
"13";"Internal pressure keeps on increasing and the eye nerves dilapidates , gradually the patient can not see things around , eyesight might also be lost if treatment is not done in time .";"अंदर का दबाव बढ़ता जाता है और नेत्र तंत्रिका नष्ट होती है , धीरे - धीरे मरीज अगल - बगल की चीजें नहीं देख पाता है , अगर समय पर इलाज न किया जाए तो नजर भी जा सकती है ।";"अंदर दबाव बढ़ जाता है और आंख की नस नष्ट हो जाती है , धीरे - धीरे रोगी अपने आस - पास देखने में असमर्थ हो जाता है , अगर समय पर इलाज नहीं किया गया , तो दृष्टि भी खो सकती है।";"24.435745"
"14";"Main symptoms on appearance of which a patient should consult a doctor .";"प्रमुख लक्षण जिनके प्रकट होने पर रोगी को डॉक्टर से जाँच करानी चाहिए ।";"प्रमुख लक्षण जिन पर डॉक्टर द्वारा रोगी की जांच की जानी चाहिए।";"7.209140"
"15";"Seeing rainbow like colorful ovals in light .";"रोशनी मे इंद्र धनुष के समान रंगीन गोले दिखाई देना ।";"रोशनी में इंद्र के धनुष जैसे रंगीन गोले देखना।";"10.048702"
"16";"We will check the eye nerves with special lens or equipment to find how much of damage has occurred .";"विशेष लैन्स या यंत्र के द्वारा नेत्र तंत्रिका की जाँच करेंगे की कितनी क्षति पहुँची है ।";"एक विशेष लेंस या उपकरण के माध्यम से आंख की नस की जांच की जाएगी कि कितना नुकसान हुआ है।";"2.862999"
"17";"Field test , in which the capacity to see things on the sides while looking straight is tested .";"फिल्ड टेस्ट जिसमें सामने देखते हुए साइड की चीजें देख सकने की क्षमता की जाँच होती है ।";"फील्ड टेस्ट जिसमें सामने की ओर देखते हुए चीजों को साइड में देखने की क्षमता की जांच की जाती है।";"14.400124"
"18";"The part -LRB- angle -RRB- from where the water passes out can be seen through a special lens .";"एक विशेष लैन्स द्वारा पानी के बाहर जाने के हिस्से ( एंगल ) को देख सकते हैं ।";"पानी के बाहर जाने वाले हिस्से ( कोण ) को एक विशेष लेंस के माध्यम से देखा जा सकता है।";"18.355543"
"19";"With the lack of vitamin-A the cornea becomes weak and a wound appears through which at last causes blindness .";"विटामिन - ए की कमी से कॉर्नियल कमजोर तथा घाव हो जाते हैं जिससे अन्त में अन्धापन होता है ।";"विटामिन ए की कमी से कॉर्निया कमजोर हो जाता है और निशान पड़ जाते हैं , जो अंततः अंधेपन की ओर ले जाता है।";"13.308443"
"20";"The lack of vitamin-A is even more imminent in states of measles and malnutrition .";"विटामिन - ए की कमी खसरे तथा कुपोषण की स्थिति में और अधिक होती है ।";"भोजन और कुपोषण के मामले में विटामिन ए की कमी अधिक गंभीर है।";"11.665984"
"21";"Nyctalopia may occur due to lack of vitamin-A .";"विटामिन - ए की कमी से रतौंधी हो सकती है ।";"विटामिन ए की कमी से रतौंधी हो सकती है।";"60.105260"
"22";"Absorption of vitamin-A during lack of vitamin-A in food , continuous diarrhoea and malnutrition .";"खाने में विटामिन - ए की मात्रा की कमी लगातार दस्त तथा कुपोषण में विटामिन - ए का अवशोषण ( absorption ) कम होना ।";"आहार में विटामिन ए की कमी ; लगातार दस्त और कुपोषण में विटामिन ए का अवशोषण कम हो जाता है।";"13.720016"
"23";"Demand of vitamin-A during and after measles .";"खसरे के समय व बाद में विटामिन - ए की मांग का अधिक होना ।";"भोजन के दौरान और बाद में विटामिन ए की अत्यधिक मांग।";"12.763038"
"24";"It is visible in dim light .";"कम रोशनी में दिखाई देता है ।";"कम रोशनी में दिखाई देता है।";"64.318702"
"25";"White surface dries up .";"स्वेत पटल सूखा हो जाता है ।";"सफेद बोर्ड सूख जाता है।";"7.160476"
"26";"Bitot 's spots - white spots shows up on white surface .";"बिटोटस स्पॉट्स - श्वेत श् ‍ वेत पटल पर श्वेत श् ‍ वेत धब्बे दिखाई देते हैं ।";"बिटोटस स्पॉट - सफेद श्वेतपटल पर सफेद सफेद धब्बे दिखाई देते हैं।";"9.092566"
"27";"Use gram leaves , fenugreek or methi leaves , spinach , cabbage , coriander , papaya , mango in diet to prevent nyctalopia .";"रतौंधी से बचने के लिए चौलाई , चने का साग , मैथी का साग , पालक , बन्दगोभी , धनिया , गाजर , पपीता , आम आदि का सेवन करें ।";"रतौंधी से बचने के लिए ऐमारैंथ , चने का साग , मेथी का साग , पालक , पत्ता गोभी , धनिया , गाजर , पपीता , आम आदि का सेवन करें।";"66.098164"
"28";"Encouraging mother for milk .";"माँ को दूध के लिए प्रोत्साहित करना ।";"मां को दूध के लिए प्रेरित करना।";"35.640265"
"29";"Applying vaccine at the time of measles .";"खसरे का समय पर टीका लगाना ।";"भोजन का समय पर टीकाकरण।";"26.654296"
"30";"Giving doses of vitamin-A -LRB- 1 mn I . . -RRB- during measles and at an interval of 3 months till 3 years -LRB- 2 mn I . . -RRB- .";"विटामिन - ए की खुराक ( 1 लाख आई . यू . ) , खसरे के टीके समय तथा 3 वर्ष तक ( 2 लाख आई . यू ) 3 माह के अन्तराल पर देना ।";"विटामिन - ए की खुराक ( 1 लाख आईयू ) , खसरे के टीके 3 महीने के अंतराल पर और 3 साल ( 2 लाख आईयू ) तक।";"33.371232"
"31";"It is necessary that children are given nutritious food so that they are saved from the malnutrition caused corneal blindness .";"बच्चों को पौष्टिक आहार दिये जाने की आवश्यकता है ताकि कुपोषण से होने वाले कॉर्नियल ब्लाइन्डनेस से बचाया जा सकें ।";"बच्चों को पौष्टिक आहार प्रदान करने की आवश्यकता है ताकि कुपोषण के कारण होने वाले कॉर्नियल ब्लाइंडनेस से बचा जा सके।";"35.448014"
"32";"For conjunctival cataract caused by rubella vaccination is required on time .";"रूबेला के कारण होने वाले कन्जानाईटल कैटरेक्ट के लिये समय पर टीकाकरण किये जाने की आवश्यकता है ।";"रूबेला के कारण होने वाले जन्मजात मोतियाबिंद का समय पर टीकाकरण किया जाना चाहिए।";"26.720054"
"33";"About 20 to 40 percent of children become blind with one eye due to injuries in the eyes .";"आँखों में चोट के लगने के कारण लगभग 20 से 40 प्रतिशत बच्चें एक आँख से अन्धे हो जाते हैं ।";"करीब 20 से 40 प्रतिशत बच्चे आंखों में चोट लगने के कारण एक आंख से अंधे हो जाते हैं।";"20.949647"
"34";"It is required that people are educated about the safety of eyes so that blindness caused by crackers , industrial accidents and road traffic accidents could be escaped .";"आँखों की सुरक्षा के बारे में लोगों को शिक्षित किये जाने की आवश्यकता है ताकि पटाखें औद्योगिक दुर्घटनायें एवं रोड ट्रेफिक दुर्घटनायों से होने वाली अन्धता को बचाया जा सके ।";"लोगों को आंखों की सुरक्षा के बारे में शिक्षित करने की जरूरत है ताकि पटाखों से होने वाले अंधेपन , औद्योगिक दुर्घटनाओं और सड़क यातायात दुर्घटनाओं से बचा जा सके।";"17.015644"
"35";"To save eyes from diseases it is necessary to pay attention towards environmental sanitation and treatment is needed on time .";"रोगों से आँखों के बचाव के लिये environmental senitation की ओर ध्यान दिये जाने की आवश्यकता है तथा उपचार समय पर किये जाने की जरूरत है ।";"आंखों को बीमारियों से बचाने के लिए पर्यावरण स्वच्छता पर ध्यान देने और समय पर इलाज की जरूरत है।";"4.322649"
"36";"Gradual and painless lessening of vision in one or both of the eyes in a month or year .";"धीरे - धीरे तथा बिना दर्द के एक या दोनों आँखों में एक माह या वर्ष में दृष्टि में धीरे - धीरे कमी आना ।";"एक महीने या एक साल में एक या दोनों आँखों में दृष्टि की क्रमिक हानि , धीरे - धीरे और बिना दर्द के।";"24.057497"
"37";"Pupil getting gray or white .";"भूरा ( gray ) या सफेद पुतली ( प्यूपिल ) होना ।";"भूरे या सफेद रंग की पुतली का होना।";"7.413670"
"38";"When the rays of light do not fall on the retina or falls at the front or back of the retina .";"जब प्रकाश की किरणें दृष्टि पटल ( रेटिना ) पर नही पड़ती हैं या तो रेटिना के आगे या रेटिना के पीछे पड़ती है ।";"जब प्रकाश की किरणें रेटिना पर नहीं पड़ती हैं , या तो रेटिना के सामने या रेटिना के पीछे।";"25.309820"
"39";"When the rays of light gets collected before the retina .";"जब प्रकाश की किरणें रेटिना से पहले एकत्रित हो जाती हैं ।";"जब प्रकाश की किरणें रेटिना के सामने एकत्रित होती हैं।";"33.660774"
"40";"Fungus is also a kind of being that lives in our body and harms our body .";"फंगस भी हमारे शरीर में रहने वाला ऐसा एक जीव है जो हमारे शरीर को नुकसान पहुँचाता है ।";"कवक भी हमारे शरीर में रहने वाला एक ऐसा जीव है जो हमारे शरीर को नुकसान पहुंचाता है।";"58.022373"
"41";"Fungus creates its abode in damped places like under the nail of our toe .";"फंगस नमी वाली जगह जैसे हमारे पैर के अंगूठे के नाखून के नीचे अपना घर बना लेते हैं ।";"कवक अपना घर नम स्थानों जैसे हमारे पैर की उंगलियों के नाखूनों के नीचे बनाता है।";"11.469094"
"42";"It is called onikomysis .";"जिसे ओनिकोमाइसिस कहते हैं ।";"जिसे ऑनिकोमाइकोसिस कहते हैं।";"14.794016"
"43";"The patient can see nearby things clearly but there occurs problem seeing things at a distance .";"मरीज नजदीक की चीजें साफ देख सकता है परन्तु दूर की चीजें देखने में परेशानी होती है ।";"रोगी निकट की वस्तुओं को स्पष्ट देख सकता है लेकिन दूर की वस्तुओं को देखने में परेशानी होती है।";"20.973426"
"44";"The patient brings things near to the eyes to see things clearly .";"मरीज चीजों को देखने के लिये आँख के पास लाता है ।";"रोगी चीजों को देखने के लिए आंखों के सामने लाता है।";"23.708988"
"45";"Student tries to sit very near to the blackboard in the classroom .";"क्लास में विद्यार्थी श्यामपट के काफी नजदीक बैठने की कोशिश करता हैं ।";"कक्षा में , छात्र ब्लैकबोर्ड के बहुत करीब बैठने की कोशिश करता है।";"21.401603"
"46";"When the rays of light collects at the back of the eye . This is seen mostly in the young children .";"जब प्रकाश की किरणें रेटिना के पीछे एकत्रित होती है यह ज्यादातर जवान बच्चों में देखा जाता है ।";"यह ज्यादातर छोटे बच्चों में देखा जाता है जब प्रकाश किरणें रेटिना के पीछे अभिसरण करती हैं।";"37.220205"
"47";"headache , heaviness in the eyes , problem in reading .";"सिर दर्द , आँखों में भारीपन , पढ़ने में परेशानी ।";"सिरदर्द , आंखों में भारीपन , पढ़ने में कठिनाई।";"37.405485"
"48";"Due to weakness in the muscles of the eyes lens can not change its shape . The rays of light falls behind the retina while reading or doing things at a close distance . This is found at an age of 40 years or above .";"आँख की मांसपेशियों की कमजोरी के कारण लैन्स अपना आकार नही बदल पाता पढ़ते या नजदीकी काम करते समय प्रकाश की किरणें रेटिना के पीछे पड़ती हैं यह 40 वर्ष और उससे ऊपर की उम्र में पाई जाती है ।";"आँख की माँसपेशियों की कमज़ोरी के कारण लेंस अपना आकार नहीं बदल पाता है , पढ़ते या निकट कार्य करते समय प्रकाश की किरणें रेटिना के पीछे पड़ जाती हैं , यह 40 वर्ष और उससे अधिक की आयु में पाया जाता है।";"31.519131"
"49";"Shadowiness in reading-writing at a distance or doing things nearby .";"दूर पढ़ने - लिखने व कोई भी नजदीकी काम करने में धुंधलापन ।";"पढ़ने - लिखने में धुंधलापन और कोई करीबी काम करने में।";"17.676084"
